BJD - 2454833, Corrected Flux
2061.305485041, 1.010756873,
2061.325917228, 1.011827352,
2061.346349315, 1.011113371,
2061.387213486, 1.010556573,
2061.407645571, 1.010452501,
2061.428077757, 1.010533660,
2061.489374008, 1.011425144,
2061.509805991, 1.011034075,
2061.530238074, 1.011013541,
2061.550670256, 1.010897283,
2061.571102338, 1.011131300,
2061.591534320, 1.010440353,
2061.611966501, 1.010754966,
2061.632398581, 1.010056153,
2061.652830561, 1.009855645,
2061.673262741, 1.009478481,
2061.693694821, 1.009471615,
2061.714126900, 1.010401628,
2061.734558978, 1.009026537,
2061.754991056, 1.008586164,
2061.775423134, 1.008469770,
2061.795855211, 1.008059370,
2061.816287288, 1.007269097,
2061.836719364, 1.007952070,
2061.857151440, 1.007190210,
2061.877583416, 1.006433472,
2061.898015591, 1.006034373,
2061.918447666, 1.005740682,
2061.938879740, 1.005488096,
2061.959311814, 1.005767185,
2061.979743888, 1.004479854,
2062.000176061, 1.004927274,
2062.020608033, 1.004037279,
2062.041040106, 1.002979833,
2062.061472278, 1.003782425,
2062.081904249, 1.003385968,
2062.102336320, 1.002758540,
2062.122768491, 1.002493183,
2062.143200561, 1.001901690,
2062.163632531, 1.000814328,
2062.224928737, 1.001062047,
2062.245360906, 1.000994676,
2062.265792973, 1.002547129,
2062.286224941, 1.001524006,
2062.306657107, 1.000668621,
2062.327089174, 0.999740337,
2062.347521340, 1.002349101,
2062.367953306, 0.998754754,
2062.388385371, 0.998081821,
2062.408817536, 0.998217706,
2062.429249500, 0.997533783,
2062.449681564, 0.997314761,
2062.470113628, 0.997085238,
2062.490545691, 0.997082454,
2062.510977754, 0.996811280,
2062.531409816, 0.996539933,
2062.551841878, 0.996162144,
2062.572273939, 0.995580632,
2062.592706001, 0.995615968,
2062.613138061, 0.995036114,
2062.633570121, 0.995993276,
2062.654002281, 0.995203292,
2062.674434241, 0.994983933,
2062.694866400, 0.994163146,
2062.715298459, 0.994721519,
2062.735730417, 0.994425377,
2062.756162575, 0.994508676,
2062.776594632, 0.992948393,
2062.797026589, 0.993721838,
2062.817458746, 0.992788801,
2062.837890802, 0.993503663,
2062.858322758, 0.993105800,
2062.878754913, 0.992636861,
2062.899186968, 0.992928946,
2062.919618923, 0.992917929,
2062.940051077, 0.992640821,
2062.960483131, 0.992459117,
2062.980915184, 0.991722921,
2063.001347237, 0.993003063,
2063.021779289, 0.992084587,
2063.042211342, 0.992315288,
2063.062643393, 0.992195748,
2063.083075444, 0.991667645,
2063.103507595, 0.991848073,
2063.123939646, 0.991981248,
2063.144371596, 0.991877942,
2063.164803746, 0.991253603,
2063.185235795, 0.992248235,
2063.205667744, 0.992451742,
2063.226099892, 0.992726655,
2063.246531840, 0.992846668,
2063.266963888, 0.992495450,
2063.287396035, 0.992688774,
2063.307827982, 0.992959131,
2063.328260028, 0.992596796,
2063.348692174, 0.992563084,
2063.369124120, 0.993058841,
2063.389556165, 0.992890445,
2063.409988310, 0.993078542,
2063.430420254, 0.992834332,
2063.450852299, 0.993101581,
2063.471284442, 0.993327985,
2063.491716485, 0.992780051,
2063.512148528, 0.993243259,
2063.532580570, 0.992568869,
2063.553012612, 0.992606519,
2063.573444654, 0.993548057,
2063.593876695, 0.994154937,
2063.614308736, 0.993075010,
2063.634740876, 0.992854474,
2063.696036995, 0.993332956,
2063.716468934, 0.992976646,
2063.736900972, 0.994428534,
2063.757333110, 0.993911021,
2063.777765048, 0.994262750,
2063.798197085, 0.994030314,
2063.818629222, 0.994169116,
2063.839061158, 0.994369238,
2063.859493194, 0.994510051,
2063.879925329, 0.994768782,
2063.900357265, 0.994491583,
2063.920789399, 0.993878640,
2063.941221433, 0.994563495,
2063.961653367, 0.994335615,
2063.982085501, 0.994518427,
2064.002517534, 0.993819285,
2064.022949467, 0.993731709,
2064.043381599, 0.994034134,
2064.063813631, 0.994927002,
2064.084245563, 0.993943833,
2064.104677694, 0.994013614,
2064.125109725, 0.993693545,
2064.554182279, 0.993282575,
2064.574614401, 0.993245068,
2064.595046422, 0.993397161,
2064.615478343, 0.993637231,
2064.635910464, 0.993329282,
2064.656342485, 0.992728091,
2064.738070463, 0.992449535,
2064.758502581, 0.992004387,
2064.778934499, 0.992103615,
2064.799366617, 0.995648749,
2064.819798634, 0.993112197,
2064.840230651, 0.992239567,
2064.860662667, 0.992046094,
2064.921958715, 0.991021534,
2064.942390730, 0.990756492,
2064.962822744, 0.991300325,
2064.983254858, 0.990245535,
2065.003686772, 0.989921116,
2065.024118785, 0.989544481,
2065.044550898, 0.989097784,
2065.064982811, 0.988748147,
2065.085414823, 0.989330691,
2065.105846935, 0.989175224,
2065.126278846, 0.988289581,
2065.146710857, 0.988768560,
2065.187574878, 0.987748345,
2065.208006988, 0.988018633,
2065.228438998, 0.987208419,
2065.248870906, 0.987520382,
2065.269303015, 0.987591939,
2065.289735024, 0.988067622,
2065.310167032, 0.987377604,
2065.330599039, 0.987879691,
2065.351031046, 0.988089055,
2065.371463053, 0.987451857,
2065.391895059, 0.987246354,
2065.412327065, 0.986818411,
2065.432759071, 0.987854675,
2065.453191076, 0.987432947,
2065.473623081, 0.987917223,
2065.494054985, 0.987051473,
2065.514487089, 0.986916477,
2065.534919092, 0.987395774,
2065.555350996, 0.986680808,
2065.575783099, 0.987138573,
2065.596215101, 0.987049590,
2065.657511106, 0.986763598,
2065.677943207, 0.986312030,
2065.698375108, 0.986737610,
2065.718807108, 0.986706011,
2065.739239208, 0.986848102,
2065.759671107, 0.987347549,
2065.780103106, 0.989889548,
2065.800535204, 0.989267800,
2065.820967203, 0.989465051,
2065.841399101, 0.989772025,
2065.861831198, 0.989758522,
2065.882263195, 0.989420569,
2065.902695092, 0.988700751,
2065.923127188, 0.988498935,
2065.943559184, 0.989119518,
2065.963991080, 0.989891333,
2065.984423174, 0.990675175,
2066.004855169, 0.990804731,
2066.025287064, 0.991406860,
2066.045719158, 0.991576618,
2066.066151151, 0.992637668,
2066.086583245, 0.994781003,
2066.147879122, 0.995026935,
2066.168311114, 0.995181330,
2066.188743105, 0.995704415,
2066.209175096, 0.995504712,
2066.229607086, 0.997085834,
2066.250039076, 0.997104910,
2066.270471066, 0.996415914,
2066.290903055, 0.996954407,
2066.311335045, 0.997693645,
2066.331767134, 0.998566809,
2066.393063097, 0.999652925,
2066.413494984, 0.999941950,
2066.433926971, 1.000766895,
2066.454359057, 1.000532241,
2066.474790943, 1.000503605,
2066.495222929, 1.001560646,
2066.515655014, 1.001057370,
2066.536086899, 1.001861227,
2066.556518983, 1.001816263,
2066.576950967, 1.003471832,
2066.597382851, 1.003395388,
2066.617814935, 1.004106538,
2066.638246917, 1.004326945,
2066.658678900, 1.005110239,
2066.679110882, 1.005724037,
2066.699542864, 1.006231205,
2066.719974845, 1.006484262,
2066.740406826, 1.006342304,
2066.760838807, 1.006974340,
2066.781270787, 1.007438802,
2066.801702867, 1.007931573,
2066.822134747, 1.008401113,
2066.862998705, 1.009508358,
2066.883430683, 1.009883167,
2066.903862661, 1.009737863,
2066.924294739, 1.011265583,
2066.944726616, 1.010549721,
2066.965158493, 1.011365068,
2066.985590570, 1.011066104,
2067.006022546, 1.010766941,
2067.026454622, 1.011112683,
2067.046886497, 1.011266543,
2067.067318472, 1.011729969,
2067.087750547, 1.012032037,
2067.108182421, 1.012602254,
2067.128614395, 1.013381578,
2067.149046468, 1.014778203,
2067.169478441, 1.013214122,
2067.189910314, 1.013564786,
2067.210342387, 1.012704715,
2067.230774359, 1.012216526,
2067.251206231, 1.012369697,
2067.271638302, 1.012663098,
2067.292070273, 1.012676783,
2067.312502143, 1.012739530,
2067.353366183, 1.013105076,
2067.373798053, 1.013361344,
2067.394230122, 1.013077257,
2067.414662090, 1.013711839,
2067.435093959, 1.013540994,
2067.455526026, 1.014283467,
2067.475957994, 1.014052628,
2067.496390061, 1.014044126,
2067.516821928, 1.013225889,
2067.537253895, 1.012960982,
2067.557685961, 1.012994836,
2067.578117827, 1.012749570,
2067.598549792, 1.012193023,
2067.618981757, 1.012491114,
2067.639413821, 1.012209144,
2067.659845685, 1.012010699,
2067.680277650, 1.011632745,
2067.700709613, 1.010650313,
2067.721141576, 1.010577852,
2067.741573639, 1.010329614,
2067.762005501, 1.011327939,
2067.782437463, 1.010795675,
2067.802869525, 1.010542564,
2067.864165408, 1.010199494,
2067.884597268, 1.010481780,
2067.905029327, 1.009940525,
2067.925461287, 1.010017538,
2067.945893146, 1.009409438,
2067.966325205, 1.009566600,
2067.986757163, 1.008727053,
2068.007189121, 1.008737371,
2068.027621079, 1.007493936,
2068.048053036, 1.007592259,
2068.129780861, 1.007896627,
2068.150212917, 1.007462159,
2068.170644772, 1.007640742,
2068.191076726, 1.006559215,
2068.211508781, 1.005941989,
2068.231940634, 1.005988021,
2068.252372588, 1.005100251,
2068.272804641, 1.005018556,
2068.293236494, 1.004318298,
2068.313668447, 1.003880826,
2068.334100499, 1.004268810,
2068.354532351, 1.003941623,
2068.374964402, 1.002541659,
2068.395396253, 1.002674247,
2068.415828204, 1.002161963,
2068.436260254, 1.001896522,
2068.456692104, 1.001519718,
2068.477124054, 1.000883146,
2068.497556103, 1.000476871,
2068.517987952, 0.999964207,
2068.538419900, 0.999855448,
2068.558851948, 0.999872716,
2068.579283896, 0.999419009,
2068.599715743, 0.998446069,
2068.620147790, 0.998726840,
2068.640579737, 0.998445040,
2068.661011583, 0.998180065,
2068.681443629, 0.997679540,
2068.701875575, 0.997570473,
2068.722307420, 0.997109480,
2068.742739465, 0.996767392,
2068.763171409, 0.996452440,
2068.783603453, 0.996707428,
2068.844899284, 0.996837927,
2068.865331127, 0.995684111,
2068.885763069, 0.996456163,
2068.906195111, 0.995044750,
2068.926626952, 0.994923729,
2068.947058894, 0.993995239,
2068.967490935, 0.994360349,
2068.987922875, 0.993660496,
2069.008354715, 0.993794282,
2069.028786755, 0.993905364,
2069.049218695, 0.993166260,
2069.069650534, 0.993185355,
2069.090082573, 0.993143837,
2069.110514411, 0.992927445,
2069.130946349, 0.992269827,
2069.151378387, 0.992575863,
2069.171810324, 0.992804322,
2069.192242161, 0.991911305,
2069.212674198, 0.992202753,
2069.233106034, 0.992856304,
2069.253538070, 0.991930233,
2069.273970005, 0.991503035,
2069.314833875, 0.991500416,
2069.335265810, 0.991982030,
2069.355697644, 0.991699533,
2069.376129677, 0.991578210,
2069.396561611, 0.990877729,
2069.416993544, 0.991508144,
2069.437425477, 0.990638354,
2069.457857409, 0.990551725,
2069.478289341, 0.990445359,
2069.498721273, 0.990407809,
2069.519153204, 0.990180446,
2069.580448996, 0.992949887,
2069.621312955, 0.991200188,
2069.641744784, 0.991386528,
2069.662176813, 0.990068134,
2069.682608742, 0.990937783,
2069.703040569, 0.991784335,
2069.723472597, 0.991397904,
2069.743904525, 0.991866738,
2069.764336351, 0.991900846,
2069.784768378, 0.991207675,
2069.805200305, 0.991708772,
2069.825632131, 0.991140785,
2069.846064156, 0.991325608,
2069.866495982, 0.993624083,
2069.886928007, 0.991772981,
2069.907359931, 0.991698297,
2069.927791855, 0.991860601,
2069.948223679, 0.994331574,
2069.968655703, 0.995070896,
2069.989087626, 0.995730587,
2070.009519449, 0.994630709,
2070.091247236, 0.992967304,
2070.111679158, 0.992839422,
2070.132111179, 0.992012776,
2070.152542999, 0.992203549,
2070.172974919, 0.992033291,
2070.193406939, 0.991881438,
2070.213838758, 0.991192153,
2070.234270677, 0.991539143,
2070.254702696, 0.991530643,
2070.275134514, 0.992975747,
2070.295566432, 0.992582185,
2070.315998449, 0.991573820,
2070.336430266, 0.992778908,
2070.356862183, 0.992446263,
2070.377294200, 0.992250585,
2070.397726116, 0.991971088,
2070.418157932, 0.992374493,
2070.438589948, 0.993515436,
2070.459021863, 0.991831248,
2070.479453678, 0.992411544,
2070.499885692, 0.992303866,
2070.540749620, 0.992868240,
2070.561181433, 0.993552736,
2070.581613246, 0.992607567,
2070.602045259, 0.993499789,
2070.622477172, 0.991955503,
2070.642908984, 0.992529887,
2070.663340995, 0.991819465,
2070.683772907, 0.992065735,
2070.704204718, 0.991594006,
2070.724636728, 0.992390584,
2070.745068639, 0.992131662,
2070.765500549, 0.991631838,
2070.785932458, 0.992916771,
2070.806364368, 0.991899006,
2070.826796277, 0.992203653,
2070.847228185, 0.992938161,
2070.888092002, 0.991558670,
2070.908524009, 0.992148707,
2070.928955816, 0.991421019,
2070.949387823, 0.991657619,
2070.969819730, 0.991243439,
2070.990251536, 1.008918068,
2071.031115447, 0.990424183,
2071.051547253, 0.988180016,
2071.071979257, 0.989619832,
2071.092411162, 0.987670363,
2071.112842966, 0.987893739,
2071.133274970, 0.987064437,
2071.153706874, 0.987551145,
2071.174138677, 0.987269855,
2071.194570679, 0.988823998,
2071.215002582, 0.989072817,
2071.235434484, 0.989814572,
2071.337593990, 0.990277276,
2071.378457790, 0.988293307,
2071.398889689, 0.987728428,
2071.419321688, 0.988161651,
2071.439753487, 0.987827347,
2071.460185385, 0.987500317,
2071.480617383, 0.987715877,
2071.501049181, 0.987655632,
2071.521481079, 0.987854489,
2071.541913076, 0.987173578,
2071.562344872, 0.986482342,
2071.623640560, 0.985629634,
2071.644072456, 0.985798576,
2071.664504451, 0.985805090,
2071.684936246, 0.985346897,
2071.705368140, 0.985568467,
2071.746232028, 0.984975697,
2071.766663921, 0.984874889,
2071.787095814, 0.985666276,
2071.807527707, 0.985188745,
2071.827959599, 0.986235576,
2071.848391491, 0.989114446,
2071.868823383, 0.988381317,
2071.889255374, 0.989464822,
2071.909687166, 0.990426807,
2071.930119056, 0.990570130,
2071.950551046, 0.988273401,
2071.970982836, 0.988580043,
2072.052710393, 0.990514438,
2072.073142282, 0.991480691,
2072.093574170, 0.991258388,
2072.114006057, 0.990605749,
2072.134437945, 0.991571692,
2072.154869832, 0.991240484,
2072.175301719, 0.992012278,
2072.195733605, 0.991591753,
2072.216165491, 0.993011996,
2072.257029362, 0.992618338,
2072.277461147, 0.992959033,
2072.318325016, 0.995808909,
2072.338756800, 0.994364312,
2072.359188784, 0.994608206,
2072.379620668, 0.993783212,
2072.400052451, 0.994042974,
2072.440916316, 0.995797527,
2072.461348098, 0.995954350,
2072.502211961, 0.995351428,
2072.522643742, 0.996593111,
2072.543075723, 0.997035073,
2072.563507603, 0.997022504,
2072.583939483, 0.997583704,
2072.624803243, 0.998293431,
2072.645235222, 0.998589315,
2072.665667001, 0.999632357,
2072.686098879, 0.999419197,
2072.706530857, 1.000054634,
2072.747394513, 1.001981498,
2072.767826490, 1.001790965,
2072.788258367, 1.001702017,
2072.808690143, 1.002159391,
2072.829122120, 1.002700640,
2072.849553895, 1.003343308,
2072.869985771, 1.003923115,
2072.890417746, 1.003891036,
2072.910849521, 1.004293867,
2072.931281396, 1.004675607,
2072.951713370, 1.005415595,
2072.972145144, 1.005829054,
2072.992577018, 1.005725706,
2073.013008991, 1.005612810,
2073.033440764, 1.007199682,
2073.053872736, 1.007109188,
2073.074304609, 1.007579446,
2073.094736481, 1.007647990,
2073.115168352, 1.007922728,
2073.135600224, 1.008382841,
2073.156032095, 1.009539040,
2073.176463965, 1.010846008,
2073.196895836, 1.009537688,
2073.278623314, 1.010560290,
2073.299055283, 1.012536200,
2073.339918919, 1.013679144,
2073.360350887, 1.012950192,
2073.380782655, 1.012656620,
2073.401214522, 1.012997598,
2073.421646389, 1.011770194,
2073.442078255, 1.012667432,
2073.462510221, 1.012198413,
2073.482941987, 1.012048822,
2073.503373853, 1.012757151,
2073.523805818, 1.013782185,
2073.544237583, 1.015253098,
2073.564669448, 1.014750289,
2073.585101412, 1.015568010,
2073.605533276, 1.014973641,
2073.625965040, 1.012171025,
