BJD - 2454833, Corrected Flux
2988.521569916, 0.996786961,
2988.542002211, 0.996869541,
2988.562434605, 0.996806675,
2988.582867098, 0.996685099,
2988.603299391, 0.996727199,
2988.623731783, 0.996654504,
2988.644164175, 0.996588352,
2988.664596566, 0.996438608,
2988.685029057, 0.996565429,
2988.705461346, 0.996567050,
2988.725893736, 0.996632378,
2988.766758512, 0.996697002,
2988.787190900, 0.996718999,
2988.807623387, 0.996752929,
2988.828055773, 0.996793047,
2988.848488059, 0.996827512,
2988.868920544, 0.996846458,
2988.889352928, 0.996848124,
2988.909785212, 0.996855120,
2988.930217695, 0.996849475,
2988.950650078, 0.996819637,
2988.971082360, 0.996865921,
2989.011947223, 0.996794836,
2989.032379503, 0.996733104,
2989.052811983, 0.996806147,
2989.073244362, 0.996665727,
2989.093676640, 0.996703531,
2989.114109118, 0.996818096,
2989.134541495, 0.996773291,
2989.154973972, 0.996775645,
2989.175406248, 0.996818836,
2989.195838624, 0.996819655,
2989.216271099, 0.996839454,
2989.236703373, 0.996945476,
2989.257135747, 0.996863664,
2989.277568220, 0.996887295,
2989.298000593, 0.996983624,
2989.318432865, 0.996940331,
2989.338865336, 0.996911609,
2989.359297707, 0.996876606,
2989.379729977, 0.996982395,
2989.400162447, 0.996865490,
2989.420594716, 0.996814354,
2989.441027085, 0.996879053,
2989.461459552, 0.996974994,
2989.502324186, 0.996910715,
2989.522756652, 0.996911714,
2989.543188918, 0.996886043,
2989.563621283, 0.996994193,
2989.584053747, 0.996931909,
2989.604486011, 0.996945433,
2989.624918374, 0.996941657,
2989.645350837, 0.996938485,
2989.665783198, 0.996961119,
2989.686215560, 0.996927542,
2989.706647921, 0.996919810,
2989.747512640, 0.996924937,
2989.767944999, 0.996952011,
2989.788377358, 0.996890850,
2989.808809815, 0.996821071,
2989.829242072, 0.996918227,
2989.849674429, 0.996850482,
2989.870106885, 0.996889320,
2989.890539141, 0.996930633,
2989.910971495, 0.996946056,
2989.931403950, 0.996841714,
2989.951836204, 0.996922210,
2989.972268557, 0.996970601,
2989.992701009, 0.996940533,
2990.013133261, 0.997029622,
